#{"t_start": 1718207680.0404563, "env_id": "CustomHopper-source-v0"}
r,l,t
7.958474,10,0.087045
11.505947,12,0.108394
16.889315,19,0.142112
10.519698,14,0.162583
6.989571,10,0.176907
13.174274,14,0.196269
8.22316,13,0.215135
6.440163,11,0.240921
8.111337,11,0.259838
2.465628,10,0.274434
11.017001,14,0.294597
9.085041,12,0.317218
5.52397,10,0.335092
227.039468,111,0.555907
6.89842,10,0.579094
11.836499,14,0.60831
8.026678,12,0.630008
15.553876,15,0.662093
14.371237,17,0.693793
4.121943,10,0.71108
34.15139,28,0.770313
25.751429,25,0.816948
10.913867,15,0.847779
8.45929,15,0.877598
6.264107,9,0.893253
11.954344,23,0.937299
5.013662,27,0.990152
8.6622,16,1.017448
5.625428,12,1.044657
8.194174,11,1.086575
7.500064,19,1.130427
4.099807,9,1.153012
24.672458,36,1.219869
38.58972,33,1.279962
7.302142,15,1.30743
38.239968,30,1.355576
11.776741,16,1.379918
19.90606,23,1.418173
9.078334,21,1.450008
19.747404,18,1.478312
41.12787,30,1.530123
10.516965,13,1.562735
47.858861,36,1.648249
9.174417,13,1.677659
11.23761,13,1.698237
11.628115,17,1.725517
3.33491,7,1.737938
4.80499,16,1.764714
30.826883,28,1.812428
3.574706,8,1.827247
9.780499,24,1.863532
53.145151,46,1.939831
55.219941,40,2.01086
15.620514,23,2.078852
17.715859,33,2.167233
10.110563,18,2.195217
18.591211,25,2.232905
4.924623,16,2.259876
5.010357,13,2.28459
7.445518,12,2.302617
26.065862,22,2.343931
9.185384,14,2.364255
209.095609,100,2.520711
13.998276,24,2.56022
11.955532,17,2.588081
6.420541,10,2.605405
14.275221,17,2.637647
7.101225,16,2.683053
35.274283,28,2.755821
13.671732,18,2.788415
6.370091,10,2.806943
99.867877,83,2.968754
11.80747,15,3.009288
25.142269,24,3.081259
8.021559,24,3.130469
13.876246,14,3.158499
5.767991,10,3.179234
6.078427,9,3.197078
6.107271,9,3.214649
10.359731,13,3.2469
9.62776,12,3.27305
13.42338,16,3.30737
14.576446,15,3.331635
10.471465,12,3.364279
8.528739,11,3.399645
8.545867,15,3.443363
6.750064,10,3.474561
11.443653,15,3.513532
12.900361,24,3.571921
17.538474,21,3.626587
6.374638,11,3.648914
22.565331,31,3.72802
5.972381,14,3.762555
9.775674,16,3.798104
8.910582,11,3.822073
5.479159,8,3.840582
6.668435,9,3.858706
12.076896,15,3.893732
13.702692,16,3.927508
8.094265,11,3.947358
11.324864,27,3.998509
7.359498,14,4.025003
7.197519,10,4.042407
11.957239,14,4.064662
7.385648,21,4.102651
9.948459,13,9.571674
17.802797,21,9.60116
12.116843,14,9.61991
26.871786,24,9.656351
16.922471,18,9.681869
169.003534,78,9.791296
15.886983,29,9.836811
17.372958,20,9.901887
11.543567,17,9.950245
2.927044,9,9.994951
7.007896,18,10.040819
8.456278,12,10.09367
14.819101,14,10.125964
6.250366,13,10.153244
11.696359,14,10.178506
7.708884,12,10.204462
16.1563,16,10.235076
31.589654,43,10.303575
12.316622,23,10.337177
128.284013,72,10.439617
22.563401,21,10.479069
88.684759,56,10.554914
26.292857,27,10.5947
18.775767,18,10.620711
8.176099,21,10.658611
12.9758,14,10.688295
10.196403,27,10.752808
187.353518,102,10.969888
42.202068,35,11.031773
16.110267,19,11.057747
153.08756,73,11.17854
4.94734,8,11.195822
39.271617,29,11.246053
6.808418,9,11.261968
8.859636,12,11.286457
22.710252,30,11.341686
18.914445,24,11.385312
37.484832,32,11.428632
20.109374,20,11.4588
14.612347,18,11.484731
142.116944,73,11.593184
11.988071,27,11.632933
7.163607,13,11.653034
41.319864,30,11.692493
13.387244,18,11.717244
12.683326,13,11.742447
18.039507,20,11.779626
15.81941,22,11.810493
11.223762,14,11.832623
28.325919,29,11.883057
15.435896,15,11.911721
31.908897,27,11.973026
165.986158,74,12.102706
10.5459,16,12.124229
3.357919,9,12.141458
22.40942,22,12.173598
33.057221,26,12.209718
6.597676,11,12.227195
5.044203,27,12.264148
17.724655,18,12.288787
149.627834,78,12.424575
22.344549,19,12.462315
31.569652,33,12.524947
7.078897,10,12.543139
16.306225,26,12.5853
68.875405,39,12.640901
9.128173,19,12.66855
8.548266,12,12.684621
13.182317,15,12.707632
43.401102,36,12.759503
10.725724,14,12.789792
5.932441,14,12.818918
34.457401,29,12.875601
11.165743,16,12.909118
5.379568,8,12.926415
4.947603,11,12.952414
19.663105,23,12.990232
11.973571,14,13.009941
18.774132,19,13.040896
24.986723,28,13.081649
28.215357,42,18.179826
130.42495,84,18.299005
94.98631,52,18.371993
45.64743,44,18.438621
17.287046,17,18.461973
55.704953,50,18.529948
4.038464,8,18.54188
204.198322,115,18.696613
11.792239,13,18.715582
9.771835,12,18.732639
196.52493,84,18.869747
68.278384,43,18.950497
92.892683,64,19.074346
31.804344,30,19.127857
12.796965,15,19.155375
40.424095,40,19.22647
37.31128,28,19.266278
8.346395,18,19.291336
16.105774,19,19.318821
9.406881,14,19.337891
16.690108,16,19.360264
13.982834,24,19.396121
74.818387,41,19.452951
15.511646,18,19.481565
64.014897,38,19.537158
79.268273,44,19.59556
112.907318,69,19.69303
108.010476,71,19.835398
13.442462,15,19.85872
44.319607,46,19.931575
14.111561,15,19.952964
41.541466,36,20.013783
27.34518,28,20.058751
8.052707,10,20.078747
13.863639,26,20.117348
99.579429,63,20.207122
113.047902,60,20.28916
49.228249,38,20.347028
79.497638,44,20.409606
18.104167,22,20.443237
77.714882,50,20.508332
99.47146,53,20.589
7.784638,14,20.609566
22.285697,20,20.650332
223.491278,110,20.847487
74.56665,50,20.921528
18.166054,15,20.945768
15.335713,17,20.968445
50.29271,32,21.014588
4.325703,10,21.028013
63.456928,45,21.101959
36.794453,31,21.146242
9.517755,17,21.174257
81.625329,45,21.234788
10.08593,12,21.25159
65.182598,38,26.313672
77.200763,41,26.382852
88.755235,48,26.468524
118.238829,90,26.63119
75.062515,42,26.702477
200.634952,89,26.831928
18.199155,18,26.860705
75.756304,42,26.921412
48.305068,47,27.005474
62.853967,40,27.0836
134.268753,96,27.244644
48.891385,38,27.30012
157.877013,81,27.415628
81.832176,45,27.487673
152.899018,77,27.617007
62.309781,37,27.681721
135.459676,84,27.831076
